depth.ft,p1,p2,p3
39.25,1,1,1
42,0,1,1
45.25,0,0,1
53,0,0,0
56.25,0,0,0
73.5,1,1,1
86.25,0,0,0
107.5,1,1,1
119.25,0,0,0
135.5,0,0,1
138.25,0,1,1
141.75,1,1,1
149.75,0,0,0
152.25,0,0,0
165.75,0,0,1
170.5,0,1,1
175.75,1,1,1
180.75,0,0,0
185.5,0,0,0
195.75,0,0,1
202.75,0,1,1
210,1,1,1
212,0,0,0
218.5,0,0,0
225.75,0,0,1
234.75,0,1,1
244,1,1,1
251.5,0,0,0
256,0,0,1
267,0,1,1
274.25,0,0,0
278.25,1,1,1
286.25,0,0,1
299,0,1,1
305.5,0,0,0
312.5,1,1,1
316.25,0,0,1
331.25,0,1,1
336.5,0,0,0
346.5,1,1,1
350.5,0,0,0
363.5,0,1,1
367.75,0,0,0
376.5,0,0,1
380.75,1,1,1
383.5,0,0,0
395.5,0,1,1
399,0,0,0
406.5,0,0,1
415,1,1,1
427.5,0,1,1
430,0,0,0
436.5,0,0,1
449,1,1,1
459.75,0,1,1
466.5,0,0,1
483.25,1,1,1
491.75,0,1,1
496.75,0,0,1
517.25,1,1,1
523.75,0,1,1
526.75,0,0,1
549.25,0,0,0
551.25,1,1,1
556,0,1,1
582.5,0,0,0
585.5,1,1,1
588.25,0,1,1
617,0,0,1
619.75,1,1,1
647.25,0,0,1
654,1,1,1
677.25,0,0,1
681.75,0,0,0
684.5,0,1,1
688.25,1,1,1
707.25,0,0,1
710,0,0,0
716.5,0,1,1
722.25,1,1,1
737.5,0,0,1
741,0,0,0
748.5,0,1,1
756.5,1,1,1
767.5,0,0,1
772.25,0,0,0
780.5,0,1,1
790.75,1,1,1
797.75,0,0,1
803.5,0,0,0
812.75,0,1,1
825,1,1,1
828,0,0,1
834.5,0,0,0
845,0,1,1
847.25,0,0,0
859,1,1,1
865.5,0,0,0
877.25,0,1,1
880.25,0,0,0
888.25,0,0,1
893,1,1,1
896.5,0,0,0
909.25,0,1,1
913.5,0,0,0
918.25,0,0,1
927.25,1,1,1
941.5,0,1,1
948.5,0,0,1
958.5,0,0,0
961.25,1,1,1
973.5,0,1,1
978.5,0,0,1
989.5,0,0,0
995.5,1,1,1
1005.75,0,1,1
1008.5,0,0,1
1012.75,0,0,0
1020.75,0,0,0
1029.5,1,1,1
1038,0,1,1
1046,0,0,0
1052,0,0,0
1063.75,1,1,1
1070.25,0,1,1
1079.25,0,0,0
1083,0,0,0
1097.75,1,1,1
1102.25,0,1,1
1112.25,0,0,0
1129.25,0,0,1
1131.75,1,1,1
1134.25,0,1,1
1145.5,0,0,0
1159.25,0,0,1
1166,1,1,1
1176.25,0,0,0
1178.5,0,0,0
1189.5,0,0,1
1200,1,1,1
1207.25,0,0,0
1211.75,0,0,0
1219.75,0,0,1
1230.5,0,1,1
1234,1,1,1
1238.25,0,0,0
1244.75,0,0,0
1249.75,0,0,1
1262.75,0,1,1
1268.25,1,1,1
1279.75,0,0,1
1294.75,0,1,1
1302.25,1,1,1
1310,0,0,1
1326.75,0,1,1
1331.75,0,0,0
1336.25,1,1,1
1340.25,0,0,1
1344.25,0,0,0
1359,0,1,1
1363,0,0,0
1370.25,1,1,1
1377.25,0,0,0
1391.25,0,1,1
1394.25,0,0,0
1400.5,0,0,1
1404.25,1,1,1
1410.5,0,0,0
1423.25,0,1,1
1430.75,0,0,1
1438.5,1,1,1
1443.75,0,0,0
1455.5,0,1,1
1461,0,0,1
1472.5,1,1,1
1477,0,0,0
1487.5,0,1,1
1491,0,0,1
1506.5,1,1,1
1510,0,0,0
1519.75,0,1,1
1540.75,1,1,1
1543.25,0,0,0
1552,0,1,1
1574.75,1,1,1
1581.5,0,0,1
1584,0,1,1
1609,1,1,1
1611.5,0,0,1
1616.25,0,1,1
1643,1,1,1
1648.25,0,1,1
1671.75,0,0,1
1677.25,1,1,1
1680.5,0,1,1
1701.75,0,0,1
1705.5,0,0,0
1709,0,0,0
1711.25,1,1,1
1732,0,0,1
1736.5,0,0,0
1742,0,0,0
1745.25,1,1,1
1762.25,0,0,1
1767.75,0,0,0
1776.75,0,1,1
1779.5,1,1,1
1792.25,0,0,1
1798.75,0,0,0
1809,0,1,1
1813.75,1,1,1
1822.25,0,0,1
1830,0,0,0
1841,0,1,1
1848,1,1,1
1852.25,0,0,1
1861.25,0,0,0
1873,0,1,1
1882,1,1,1
1892.25,0,0,0
1905.25,0,1,1
1907.5,0,0,0
1912.5,0,0,1
1916,1,1,1
1923.25,0,0,0
1937.25,0,1,1
1940.5,0,0,0
1942.75,0,0,1
1950.25,1,1,1
1954.5,0,0,0
1969.25,0,1,1
1973,0,0,1
1984.25,1,1,1
2001.5,0,1,1
2006.75,0,0,0
2018.5,1,1,1
2033.5,0,1,1
2039.75,0,0,0
2048,0,0,0
2052.5,1,1,1
2063.5,0,0,1
2065.75,0,1,1
2072.75,0,0,0
2079.25,0,0,0
2086.75,1,1,1
2093.75,0,0,1
2098,0,1,1
2106,0,0,0
2110.25,0,0,0
2120.75,1,1,1
2124,0,0,1
2130,0,1,1
2139,0,0,0
2141.5,0,0,0
2154.75,1,1,1
2162.25,0,1,1
2172.25,0,0,0
2184.25,0,0,1
2188.75,1,1,1
2194.5,0,1,1
2205.5,0,0,0
2214.5,0,0,1
2222.75,1,1,1
2226.5,0,1,1
2234.5,0,0,0
2238.5,0,0,0
2244.5,0,0,1
2257,1,1,1
2265.75,0,0,0
2271.75,0,0,0
2274.5,0,0,1
2291.25,1,1,1
2297,0,0,0
2304.75,0,0,1
2323,0,1,1
2325.25,1,1,1
2328,0,0,0
2335,0,0,1
2338,0,0,0
2355,0,1,1
2359.5,1,1,1
2365,0,0,1
2371,0,0,0
2387,0,1,1
2390.25,0,0,0
2393.5,1,1,1
2404,0,0,0
2419.25,0,1,1
2425.25,0,0,1
2427.75,1,1,1
2437,0,0,0
2451.5,0,1,1
2455.5,0,0,1
2461.75,1,1,1
2470.25,0,0,0
2483.5,0,1,1
2485.75,0,0,1
2496,1,1,1
2503.5,0,0,0
2515.75,0,1,1
2530.25,1,1,1
2536.5,0,0,0
2547.75,0,1,1
2564.5,1,1,1
2569.75,0,0,0
2576.25,0,0,1
2580,0,1,1
2598.75,1,1,1
2602.75,0,0,0
2606.5,0,0,1
2612,0,1,1
2633,1,1,1
2636.5,0,0,1
2639.25,0,0,0
2644.25,0,1,1
2667,1,1,1
2676.5,0,1,1
2696.75,0,0,1
2701,1,1,1
2708.75,0,1,1
2726.75,0,0,1
2732.5,0,0,0
2735.25,1,1,1
2740.75,0,1,1
2757,0,0,1
2763.75,0,0,0
2769.25,1,1,1
2773,0,1,1
2787,0,0,1
2795,0,0,0
2803.25,1,1,1
2805.25,0,1,1
2817.25,0,0,1
2826.25,0,0,0
2834.75,0,0,0
2837.5,1,1,1
2847.5,0,0,1
2857.25,0,0,0
2869.25,0,1,1
2871.5,1,1,1
2877.75,0,0,1
2888.5,0,0,0
2901.5,0,1,1
2905.5,1,1,1
2907.75,0,0,1
2919.5,0,0,0
2933.75,0,1,1
2939.75,1,1,1
2950.75,0,0,0
2965.75,0,1,1
2968.25,0,0,1
2973.75,1,1,1
2981.75,0,0,0
2998,0,1,1
3008,1,1,1
3012.75,0,0,0
3030,0,1,1
3033.25,0,0,0
3042,1,1,1
3044,0,0,0
3058.75,0,0,1
3062.25,0,1,1
3066.25,0,0,0
3076.25,1,1,1
3089,0,0,1
3094.5,0,1,1
3099.5,0,0,0
3106.5,0,0,0
3110.25,1,1,1
3119,0,0,1
3126.5,0,1,1
3132.5,0,0,0
3137.5,0,0,0
3144.5,1,1,1
3149.25,0,0,1
3158.5,0,1,1
3165.5,0,0,0
3168.75,0,0,0
3178.5,1,1,1
3190.5,0,1,1
3198.75,0,0,0
3209.5,0,0,1
3212.75,1,1,1
3222.75,0,1,1
3231.75,0,0,0
3239.75,0,0,1
3246.75,1,1,1
3254.75,0,1,1
3262.25,0,0,0
3265,0,0,0
3270,0,0,1
3280.75,1,1,1
3287,0,1,1
3293.5,0,0,0
3300,0,0,1
3315,1,1,1
3319,0,1,1
3324.5,0,0,0
3330.25,0,0,1
3349,1,1,1
3351.25,0,1,1
3355.5,0,0,0
3360.25,0,0,1
3364.25,0,0,0
3383.25,1,1,1
3386.75,0,0,0
3390.25,0,0,1
3397.5,0,0,0
3417.25,1,1,1
3420.5,0,0,1
3430.75,0,0,0
3447.5,0,1,1
3451.5,1,1,1
3464,0,0,0
3479.75,0,1,1
3485.75,1,1,1
3497,0,0,0
3511.75,0,1,1
3519.75,1,1,1
3530,0,0,0
3541.25,0,0,1
3544,0,1,1
3554,1,1,1
3563.25,0,0,0
3571.25,0,0,1
3573.75,0,0,0
3576.25,0,1,1
3588.25,1,1,1
3596.5,0,0,0
3601.5,0,0,1
3604.75,0,0,0
3608.25,0,1,1
3622.25,1,1,1
3631.5,0,0,1
3636,0,0,0
3640.25,0,1,1
3656.5,1,1,1
3661.5,0,0,1
3667.25,0,0,0
3672.5,0,1,1
3690.5,1,1,1
3696,0,0,0
3698.25,0,0,0
3704.5,0,1,1
3721.75,0,0,1
3724.75,1,1,1
3729,0,0,0
3736.5,0,1,1
